City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Chenzhou,CN,2022-01-25 15:09:54,25.8,113.0333,42.66,96,100,3.13
199,Presidencia Roque Saenz Pena,AR,2022-01-25 15:09:54,-26.7852,-60.4388,104.38,28,0,11.32
200,Labuhan,ID,2022-01-25 15:09:55,-6.8844,112.2051,79.47,88,78,13.8
201,Wagar,SD,2022-01-25 15:09:55,16.1525,36.2032,86.68,27,37,16.67
202,Iqaluit,CA,2022-01-25 15:09:55,63.7506,-68.5145,-27.2,93,97,2.28
203,Chicomuselo,MX,2022-01-25 15:09:55,15.7667,-92.2667,75.45,54,0,2.26
204,Mahibadhoo,MV,2022-01-25 15:09:56,3.7833,72.9667,80.74,61,82,10.13
205,Yarada,IN,2022-01-25 15:09:56,17.65,83.2667,75.52,88,20,5.75
206,Saskylakh,RU,2022-01-25 15:09:56,71.9167,114.0833,12.65,89,100,15.57
207,Havelock,US,2022-01-25 15:09:56,34.8791,-76.9013,50.95,91,20,1.01
208,Cayenne,GF,2022-01-25 15:09:57,4.9333,-52.3333,84.24,79,75,1.01
209,Yar-Sale,RU,2022-01-25 15:09:57,66.8333,70.8333,7.18,87,100,18.43
210,Cidreira,BR,2022-01-25 15:09:57,-30.1811,-50.2056,82.74,69,77,15.48
211,Lusambo,CD,2022-01-25 15:09:58,-4.9667,23.45,80.19,73,100,1.01
212,Glenwood Springs,US,2022-01-25 15:09:58,39.5505,-107.3248,29.43,80,100,0.0
213,Honiara,SB,2022-01-25 15:09:58,-9.4333,159.95,78.44,88,100,2.53
214,Ahipara,NZ,2022-01-25 15:09:59,-35.1667,173.1667,66.6,96,78,6.11
215,Luderitz,NA,2022-01-25 15:09:59,-26.6481,15.1594,82.29,54,0,24.65
216,Amga,RU,2022-01-25 15:09:59,60.8953,131.9608,-12.59,100,100,1.79
217,Prabumulih,ID,2022-01-25 15:10:00,-3.45,104.25,74.71,96,100,3.36
218,Yulara,AU,2022-01-25 15:10:00,-25.2406,130.9889,84.04,42,35,3.44
219,San Javier,ES,2022-01-25 15:10:00,37.8063,-0.8374,59.63,67,40,14.97
220,Planaltina,BR,2022-01-25 15:10:01,-15.4528,-47.6142,84.78,58,14,4.21
221,Abeche,TD,2022-01-25 15:10:02,13.8292,20.8324,90.55,11,53,8.46
222,Ballina,AU,2022-01-25 15:10:02,-28.8667,153.5667,70.79,75,99,1.95
223,Clyde River,CA,2022-01-25 15:06:35,70.4692,-68.5914,-9.0,94,100,9.31
224,Yuzhou,CN,2022-01-25 15:10:03,34.1628,113.4639,37.17,81,7,4.5
225,Guarapari,BR,2022-01-25 15:10:03,-20.6667,-40.4975,82.29,68,49,9.78
226,Saint-Philippe,RE,2022-01-25 15:10:04,-21.3585,55.7679,78.39,67,82,11.5
227,Cherskiy,RU,2022-01-25 15:10:04,68.75,161.3,-39.84,100,99,5.55
228,Rawson,AR,2022-01-25 15:10:04,-43.3002,-65.1023,73.87,39,0,14.5
229,Mwandiga,TZ,2022-01-25 15:10:05,-4.83,29.6581,74.07,79,100,1.7
